Make/Model,MPG_City,MPG_Hwy,Weight(lb),Seating,Horsepower,HP/Pound,Displacement,Cylinders,Origin,Transmission,EPA_Class,Length,Fuel,HEV,Turbocharger,Make,Model,GP1000M_City,GP1000M_Hwy
Kia_Sportage,17,23,3351,5,173,0.05162638,2.7,6,3,A,suv2,171.3,gas,no,no,Kia,Sportage,58.8235294,43.4782609
Kia_Sorento,15,22,4274,5,242,0.05662143,3.3,6,3,A,suv4,180.7,gas,no,no,Kia,Sorento,66.6666667,45.4545455
Kia_Sorento,15,20,4290,5,262,0.06107226,3.8,6,3,A,suv4,180.7,gas,no,no,Kia,Sorento,66.6666667,50
Kia_Sportage,19,24,3411,5,140,0.04104368,2,4,3,M,suv4,171.3,gas,no,no,Kia,Sportage,52.6315789,41.6666667
Kia_Sportage,17,21,3527,5,173,0.04905018,2.7,6,3,A,suv4,171.3,gas,no,no,Kia,Sportage,58.8235294,47.6190476
Lamborghini_Gallardo_Coupe,11,17,2998,2,530,0.17678452,5,10,2,AS,2-seater,169.3,gas,no,no,Lamborghini,Gallardo_Coupe,90.9090909,58.8235294
Lamborghini_Gallardo_Coupe,10,17,3153,2,520,0.1649223,5,10,2,M,2-seater,169.3,gas,no,no,Lamborghini,Gallardo_Coupe,100,58.8235294
Lamborghini_Murcielago_Coupe,8,13,3671,2,632,0.17216017,6.5,12,2,M,2-seater,181.5,gas,no,no,Lamborghini,Murcielago_Coupe,125,76.9230769
Land_Rover_LR2,15,22,4255,5,230,0.05405405,3.2,6,2,AS,suv4,177.1,gas,no,no,Land_Rover,LR2,66.6666667,45.4545455
Land_Rover_LR3,12,17,5796,7,300,0.05175983,4.4,8,2,AS,suv4,190.9,gas,no,no,Land_Rover,LR3,83.3333333,58.8235294
Land_Rover_Range_Rover,12,18,5842,5,400,0.0684697,4.2,8,2,AS,suv4,195.8,gas,no,yes,Land_Rover,Range_Rover,83.3333333,55.5555556
Land_Rover_Range_Rover,12,18,5698,5,305,0.05352755,4.4,8,2,AS,suv4,195.8,gas,no,no,Land_Rover,Range_Rover,83.3333333,55.5555556
Lexus_SC430,16,23,3840,4,288,0.075,4.3,8,3,AS,minicompact,178.5,gas,no,no,Lexus,SC430,62.5,43.4782609
Lexus_IS250,21,29,3435,5,204,0.05938865,2.5,6,3,AS,subcompact,180.1,gas,no,no,Lexus,IS250,47.6190476,34.4827586
Lexus_IS250,18,26,3455,5,204,0.05904486,2.5,6,3,M,subcompact,180.1,gas,no,no,Lexus,IS250,55.5555556,38.4615385
Lexus_IS350,18,25,3527,5,306,0.08675929,3.5,6,3,AS,subcompact,180.1,gas,no,no,Lexus,IS350,55.5555556,40
Lexus_ISF,16,23,3780,4,416,0.11005291,5,8,3,AS,subcompact,183.5,gas,no,no,Lexus,ISF,62.5,43.4782609
