Day,Month,Year,Price,RelChange,Time,RiskFree
23.0,10.0,1987.0,57.5,-0.00862069,87.8111,69.5024207507479
26.0,10.0,1987.0,55.5,-0.0347826,87.8194,69.51548720584904
27.0,10.0,1987.0,59.375,0.0698198,87.8222,69.52855611744374
28.0,10.0,1987.0,57.875,-0.0252632,87.825,69.54162748599383
29.0,10.0,1987.0,59.125,0.0215983,87.8278,69.5547013119612
30.0,10.0,1987.0,58.5,-0.0105708,87.8306,69.56777759580785
2.0,11.0,1987.0,58.625,0.00213675,87.8361,69.58085633799587
3.0,11.0,1987.0,58.75,0.0021322,87.8389,69.59393753898742
4.0,11.0,1987.0,60.25,0.0255319,87.8417,69.60702119924476
5.0,11.0,1987.0,60.125,0.0186722,87.8444,69.62010731923021
6.0,11.0,1987.0,58.75,-0.022869,87.8472,69.63319589940623
9.0,11.0,1987.0,58.0,-0.012766,87.8556,69.64628694023533
10.0,11.0,1987.0,57.375,-0.0107759,87.8583,69.6593804421801
11.0,11.0,1987.0,57.75,0.00653595,87.8611,69.67247640570324
12.0,11.0,1987.0,60.375,0.0454546,87.8639,69.68557483126752
13.0,11.0,1987.0,59.0,-0.0227743,87.8667,69.6986757193358
16.0,11.0,1987.0,60.0,0.0169492,87.875,69.71177907037104
17.0,11.0,1987.0,59.75,-0.00416667,87.8778,69.72488488483627
18.0,11.0,1987.0,61.0,0.0209205,87.8806,69.73799316319463
19.0,11.0,1987.0,59.25,-0.0286885,87.8833,69.75110390590932
20.0,11.0,1987.0,60.625,0.0232068,87.8861,69.76421711344364
23.0,11.0,1987.0,60.125,-0.00824742,87.8944,69.77733278626097
24.0,11.0,1987.0,59.875,-0.004158,87.8972,69.7904509248248
25.0,11.0,1987.0,59.25,-0.0104384,87.9,69.80357152959867
27.0,11.0,1987.0,58.5,-0.0126582,87.9056,69.81669460104624
30.0,11.0,1987.0,56.375,-0.0363248,87.9139,69.82982013963124
1.0,12.0,1987.0,57.875,0.0266075,87.9167,69.84294814581749
2.0,12.0,1987.0,57.75,-0.00215983,87.9194,69.85607862006891
3.0,12.0,1987.0,56.0,-0.030303,87.9222,69.86921156284949
4.0,12.0,1987.0,55.875,-0.00223214,87.925,69.8823469746233
7.0,12.0,1987.0,56.375,0.00894855,87.9333,69.89548485585453
8.0,12.0,1987.0,57.75,0.0243902,87.9361,69.90862520700745
9.0,12.0,1987.0,59.625,0.0324675,87.9389,69.92176802854637
10.0,12.0,1987.0,57.5,-0.0356394,87.9417,69.93491332093573
11.0,12.0,1987.0,59.0,0.026087,87.9444,69.94806108464007
14.0,12.0,1987.0,60.375,0.0233051,87.9528,69.961211320124
15.0,12.0,1987.0,61.25,0.0144928,87.9556,69.97436402785218
16.0,12.0,1987.0,62.75,0.0244898,87.9583,69.98751920828941
17.0,12.0,1987.0,61.0,-0.0278885,87.9611,70.00067686190057
18.0,12.0,1987.0,62.375,0.022541,87.9639,70.01383698915062
21.0,12.0,1987.0,63.375,0.0160321,87.9722,70.02699959050459
22.0,12.0,1987.0,61.875,-0.0236686,87.975,70.04016466642761
23.0,12.0,1987.0,62.75,0.0141414,87.9778,70.0533322173849
24.0,12.0,1987.0,63.25,0.00796813,87.9806,70.06650224384178
28.0,12.0,1987.0,62.0,-0.0197629,87.9917,70.07967474626363
29.0,12.0,1987.0,61.75,-0.00403226,87.9944,70.09284972511594
