Time,Risk-free Rate,VW Return,Inflation,Sears,K-Mart,Penney,Mcdonalds,Citicorp,Disney,Dun&Brads,Marriott,Fluor,IBM,Centex,Exxon,Amoco,Imperial_Oil,Schlumberger,Halliburton,Can_Pacific,Delta,United,Dow,GTE,GM,Kodak,JPMorgan,Oil Port,Retail Port,Mixed Portfolio
1978.25,0.005356945891623299,0.08262314773586273,0.008962355073138055,0.1564,0.1361,0.1801,0.112,0.1265,0.193,0.0776,0.0099,0.1357,0.1295,0.2072,0.056,0.123,-0.0435,0.0635,0.0261,0.0496,0.15,0.1965,0.1436,0.021,0.065,0.216,0.1239,0.0895,0.16825,0.09445
1978.3333333333333,0.005088077602741199,0.020784313725490215,0.009926221691381236,-0.0423,-0.0809,-0.1078,0.0583,0.0053,0.0712,0.0592,0.0122,0.0273,-0.0183,0.0,0.009,0.0063,0.0425,0.0545,0.0504,0.0551,-0.031,0.0802,-0.0465,-0.0309,-0.0458,0.0911,0.0315,0.00765,-0.07505,-0.00715
1978.4166666666667,0.0053694409123627865,-0.01235909785144723,0.010347519458455674,-0.0561,-0.0101,-0.0201,-0.0209,0.007,-0.0313,0.0191,-0.0777,-0.0286,-0.0039,0.0627,-0.0615,-0.0539,-0.0294,0.1153,0.0406,0.0042,0.0225,0.0631,-0.0273,-0.0087,-0.0266,-0.0404,-0.0829,-0.0577,-0.038099999999999995,-0.05475
1978.5,0.0055907751233159,0.057407688512769936,0.007167983215127293,0.0324,0.0765,0.0771,0.0445,0.0321,0.0563,0.0562,0.1263,-0.0103,0.0923,0.1127,0.0598,0.0363,0.0379,0.0525,-0.0039,0.1145,0.1846,0.2754,0.0711,0.0218,0.0505,0.1499,0.0786,0.048049999999999995,0.05475,0.06455
1978.5833333333333,0.005549658962910348,0.0392983715400834,0.0050842795253523395,-0.0249,0.0684,-0.0289,0.0159,0.0881,0.0177,0.0631,0.1331,0.0732,0.049,0.2152,0.0801,-0.006,0.0698,0.0057,0.1483,0.089,-0.0209,0.0551,0.0427,0.0511,0.014,0.0346,0.0365,0.03705,-0.0269,0.025249999999999998
1978.6666666666667,0.006199815990633102,-0.006276168688220224,0.00708027837926974,-0.0163,-0.0045,-0.0298,-0.0852,0.0111,-0.0069,-0.0471,-0.0248,0.0208,-0.051,0.0073,0.0506,0.0842,0.0897,0.0309,-0.0154,0.0126,-0.0811,-0.0158,0.04,0.0083,0.0141,-0.0417,-0.0317,0.0674,-0.02305,-0.008799999999999999
1978.75,0.00680651487762545,-0.1059613580289815,0.008036154576354234,-0.105,-0.1031,-0.1143,-0.0693,-0.0714,-0.1525,-0.0989,-0.2203,-0.141,-0.046,-0.2902,-0.0747,-0.0588,-0.076,-0.0676,-0.0713,-0.0435,-0.1532,-0.2219,-0.0752,-0.0782,-0.0733,-0.0683,-0.0341,-0.06675,-0.10965,-0.0537
1978.8333333333333,0.00699974433963129,0.033640718679247145,0.005480854431260759,0.0694,-0.0778,-0.0273,-0.0079,-0.0051,0.0519,0.1247,0.0435,-0.0597,0.0308,0.0,0.0411,0.0765,0.1224,0.0118,-0.1019,0.0909,0.0552,0.0355,0.0048,0.04,-0.0128,0.06,0.0,0.0588,0.02105,-0.0064
1978.9166666666667,0.007824012455354575,0.016470344918353298,0.005451073025545474,-0.076,-0.0164,-0.0241,-0.016,-0.019,0.0591,-0.0176,0.0138,0.0667,0.1076,0.0248,0.0,0.0659,0.0494,0.1123,0.1092,0.048,-0.0234,-0.0643,-0.0391,-0.0044,-0.0272,0.0,0.0,0.03295,-0.05005,-0.0136
1979.0,0.007716234233717107,0.047676300578034694,0.008871125805513658,0.076,0.0833,0.068,-0.0378,0.0425,0.0312,-0.0179,0.1031,0.0639,0.0343,0.1429,0.0407,0.011,0.0,0.0066,-0.0739,-0.0407,-0.0539,-0.0472,0.0703,0.0485,0.0488,0.0405,0.0523,0.025849999999999998,0.07200000000000001,0.05055
1979.0833333333333,0.0073381199663018004,-0.027339336158192038,0.011723842030219344,-0.0438,-0.0388,-0.0742,-0.0963,-0.0816,-0.1027,-0.0956,-0.1215,-0.0671,-0.0172,-0.0437,-0.0191,-0.0437,0.051,0.0144,0.0278,-0.0061,-0.0601,-0.1171,-0.0423,-0.038,-0.031,-0.0127,-0.0759,-0.0314,-0.059,-0.05345
1979.1666666666667,0.008131796276828541,0.06442010110452609,0.009657382552039196,0.05,0.0538,-0.0042,0.0467,0.0256,0.0605,0.0367,0.1417,0.2682,0.0517,0.2314,0.0711,0.0972,0.1017,0.0663,0.1022,0.1524,0.0983,0.0928,0.1118,0.0045,0.0606,0.0734,0.0453,0.08415,0.0229,0.05295
1979.25,0.00795818577083478,0.007656824208524792,0.011477707146262315,-0.0238,0.0663,0.0192,0.0536,0.0,-0.0382,0.0591,0.0841,-0.0241,-0.004,0.1383,0.0071,0.0675,0.0103,0.0876,-0.0255,0.1005,-0.0556,-0.0896,-0.0714,-0.0133,0.0264,-0.0137,0.0495,0.0373,-0.0023000000000000017,0.03795
1979.3333333333333,0.008159981874703766,-0.01363186352905342,0.012292960916402907,-0.0576,0.008,0.0042,0.0201,0.022,-0.0927,0.0131,0.0172,0.037,-0.0217,-0.1495,-0.0466,0.0138,0.1408,-0.0621,-0.025,0.0433,0.0634,0.0881,-0.0192,0.0088,0.0176,-0.0836,-0.0497,-0.0164,-0.026699999999999998,-0.016050000000000002
1979.4166666666667,0.008103879301170864,0.04605895271429552,0.009341087682580573,0.0132,0.0143,0.0042,0.0111,0.0946,-0.0111,0.0186,0.0366,0.2411,-0.0345,0.1017,0.0829,0.0375,0.1794,0.063,0.0328,0.1126,-0.0062,-0.0433,0.0284,-0.0137,0.0281,-0.0022,0.0771,0.060200000000000004,0.0087,0.0526
1979.5,0.007657723072780318,0.014023635155859238,0.012957294886226907,-0.026,-0.0283,-0.0271,0.058,-0.0746,0.1667,0.0912,-0.0164,0.0628,-0.0494,0.06,0.0162,0.0057,-0.0951,0.0524,0.1026,-0.0636,0.0748,0.0603,0.0821,0.088,-0.0253,-0.0569,0.0596,0.01095,-0.026549999999999997,0.01715
1979.5833333333333,0.007671420114202649,0.06444151495790439,0.010049704807834566,0.0837,0.0761,0.1441,0.0755,0.0645,0.0159,0.0653,0.1167,0.0773,0.0159,-0.0189,0.0434,0.0378,0.1347,0.1091,0.0772,0.1765,0.0215,0.0521,0.0938,0.0019,0.0544,0.0831,0.022,0.0406,0.1139,0.0382
1979.6666666666667,0.008291049614504355,0.0014663982068911874,0.010402902567828238,-0.0125,-0.0454,-0.0763,-0.046,-0.0172,0.0063,-0.0032,0.0546,0.0823,-0.0321,0.0986,0.0512,0.0571,0.0896,-0.0127,0.049,0.0461,-0.0257,-0.1,0.0784,-0.0174,0.0438,-0.0931,-0.0239,0.054150000000000004,-0.0444,0.009949999999999999
1979.75,0.008724433797326571,-0.07061028162175277,0.00895335396119786,-0.0696,-0.0667,-0.1342,-0.1088,-0.125,-0.0747,-0.0191,-0.0709,0.0529,-0.0793,-0.079,-0.0254,0.0836,-0.0548,0.0,-0.0889,-0.1618,-0.1466,-0.1818,-0.0881,-0.0487,-0.116,-0.0477,-0.0769,0.029099999999999997,-0.1019,-0.09645000000000001
1979.8333333333333,0.009870427456036144,0.06323213688051534,0.009316633374575663,0.0174,0.029,-0.0146,-0.0257,0.0298,0.064,0.0991,-0.0153,0.1508,0.0599,0.1429,0.0278,0.0779,0.1137,0.1294,0.0529,0.057,0.0632,0.0617,0.0756,0.0811,-0.0566,-0.013,-0.0161,0.052849999999999994,0.0013999999999999993,-0.03635
1979.9166666666667,0.00951213856566019,0.02588159420178569,0.010549487297045712,-0.0204,-0.05,0.0296,0.0176,0.1133,0.1406,0.0478,0.0961,0.0277,-0.0134,0.1354,-0.0496,-0.0497,-0.0098,-0.0206,0.0742,0.1499,0.0195,0.0529,0.0164,-0.0044,-0.0123,0.0,0.0262,-0.04965,0.0046,0.0069500000000000004
1980.0,0.00796782604183937,0.06505859988923657,0.014353658309584337,-0.0486,-0.1,-0.0071,-0.0058,-0.079,0.039,-0.0427,0.3333,0.1971,0.066,0.3529,0.1043,0.1224,0.1093,0.12,0.1471,0.1476,0.0224,0.0726,0.0623,-0.031,0.0975,0.0026,0.0135,0.11335,-0.02785,0.0555
1980.0833333333333,0.008857803044532217,0.0028739872532691905,0.013722034204708031,-0.0239,-0.0837,-0.1422,-0.0663,-0.08,-0.0697,-0.0312,-0.0213,-0.0774,-0.0621,-0.0326,0.0936,0.321,0.1983,0.0667,0.0718,0.0321,-0.0925,-0.2031,0.0256,-0.0345,-0.0565,-0.0471,-0.0853,0.2073,-0.08305,-0.0709
1980.1666666666667,0.012053958335531056,-0.11589826233183854,0.014382201840739774,-0.0076,-0.0129,0.04,0.0343,-0.0693,0.0301,-0.1118,-0.1554,-0.0379,-0.1221,-0.316,-0.1147,-0.1274,-0.3033,-0.0484,-0.1262,-0.1963,-0.0312,-0.0265,-0.0957,-0.0291,-0.0889,0.0468,0.0076,-0.12105,0.0162,-0.040650000000000006
1980.25,0.012555982940779772,0.05062649093747775,0.011259980134982802,-0.0077,0.1177,0.1081,0.0271,0.0476,0.0562,0.1608,-0.0581,0.0247,-0.0157,0.0206,0.0497,0.02,0.0036,0.0,0.0853,-0.0194,-0.0179,-0.1973,0.04,0.06,-0.0135,0.1079,0.1088,0.03485,0.0502,0.04765
1980.3333333333333,0.00809498116035869,0.05866467522083163,0.009896858354852881,0.0521,0.0809,0.0505,0.0997,0.1039,0.0665,0.1057,0.1233,-0.0351,0.0248,0.0484,0.0749,-0.0086,-0.0222,0.0377,0.038,0.087,0.1438,0.1356,0.0539,0.0351,-0.0033,0.0209,-0.008,0.03315,0.0513,-0.0056500000000000005
1980.4166666666667,0.006112196781046786,0.036360656672177,0.011024936089106667,0.0226,-0.0109,-0.0289,0.0336,0.0579,-0.0388,0.0331,0.0451,0.2759,0.0609,0.1865,0.0352,0.1309,0.1654,0.0506,0.0748,0.0118,0.0097,-0.0149,-0.0066,0.0467,0.0391,0.0541,0.0524,0.08305,-0.00315,0.04575
1980.5,0.005281075029534936,0.06827916698178706,0.000808116326472904,0.0956,0.105,0.1024,-0.0269,-0.0226,0.1042,0.0667,0.269,0.2809,0.1106,0.0162,0.0509,0.038,-0.0193,0.1212,0.0708,0.0662,0.2834,0.3636,0.0855,-0.0357,0.1263,0.0938,-0.0541,0.04445,0.099,0.03609999999999999
1980.5833333333333,0.006387969317575472,0.020273140341618544,0.006456808196414041,-0.0421,-0.0658,-0.0594,0.0241,0.0289,-0.059,0.0852,-0.0691,0.0447,0.017,0.0096,0.0255,-0.0106,-0.0611,0.028,0.0117,0.1379,-0.0561,-0.0833,-0.0445,0.0113,0.0329,0.0612,-0.0218,0.007449999999999999,-0.05075,0.005549999999999999
1980.6666666666667,0.007534003742008705,0.02818429551877282,0.00922244904436735,-0.0429,-0.0973,-0.1165,0.0026,-0.0683,-0.049,0.0419,0.1109,0.0791,-0.021,-0.0111,-0.0036,0.1438,-0.0106,0.077,0.1111,-0.0061,-0.0529,-0.0788,-0.0065,-0.0282,-0.014,0.0195,-0.0345,0.07010000000000001,-0.07970000000000001,-0.02425
1980.75,0.0095051011751494,0.018834818032344307,0.008740620753920545,-0.0522,-0.0778,0.0092,-0.074,-0.0491,-0.1032,-0.0268,0.2232,0.2587,0.039,-0.0705,0.0914,0.1039,-0.1036,0.1342,0.0248,-0.0092,0.0458,0.0,-0.0511,0.058,-0.0687,0.0401,0.0498,0.09765,-0.021500000000000002,-0.00945
